label,mode,window,level,turns,calls,accepted,repeats,completed,completed_at,input_tokens,output_tokens,recall_chars,graph_nodes,graph_id,arm
reuse-first-0,graph,4,three_constraints,25,26,1,1,0,,44980,10946,478.6,25,graph_9f5b16fb-13ec-478c-af65-a57b41f23341,first pass
reuse-warm-0,graph,4,three_constraints,25,26,0,0,0,,35457,8481,463.0,27,graph_0f4ba982-0e0d-4f24-a814-6f839b6c6270,inherited graph
reuse-cold-0,none,4,three_constraints,25,26,0,1,0,,37334,9364,0,25,graph_134cc918-7e8f-4b44-8071-2dc32346d4d6,no graph
reuse-first-1,graph,4,three_constraints,25,26,1,2,0,,43050,9612,446.2,25,graph_b849a247-731d-46dd-8ba9-5c6bcbda20d6,first pass
reuse-warm-1,graph,4,three_constraints,25,26,0,0,0,,38120,9152,470.6,27,graph_ea13a12f-bfca-4ff2-b40e-6a53f59eab81,inherited graph
reuse-cold-1,none,4,three_constraints,25,26,2,0,0,,39222,10123,0,25,graph_47ad1793-04b9-4058-9699-7fae0c3c86da,no graph
reuse-first-2,graph,4,three_constraints,8,9,3,0,1,9,12955,3235,352.5,8,graph_55d3f896-9a36-4f98-88cd-4fbb737f7d65,first pass
reuse-warm-2,graph,4,three_constraints,25,26,2,4,0,,43212,10252,499.8,29,graph_2438f718-6511-408a-aae6-f63b0b7d83ce,inherited graph
reuse-cold-2,none,4,three_constraints,11,12,3,0,1,12,15289,4062,0,8,graph_acae2eca-200f-4a9d-967a-a85e2ecf5f2d,no graph
