label,mode,window,level,turns,calls,accepted,repeats,completed,completed_at,input_tokens,output_tokens,recall_chars,graph_nodes,graph_id,arm
three_constraints-none-w4-r0,none,4,three_constraints,25,26,2,1,0,,40230,10505,0,25,graph_63bd2f7f-c59e-437b-b701-a1bbffbbd6b9,none-w4
three_constraints-none-w4-r1,none,4,three_constraints,25,26,1,1,0,,40126,10463,0,25,graph_2a27006f-d0dc-4de5-a277-bab8c27407ec,none-w4
three_constraints-none-w4-r2,none,4,three_constraints,25,26,0,1,0,,38248,9874,0,24,graph_6ac33381-ded1-42d3-9fcc-297f126837b7,none-w4
three_constraints-none-w4-r3,none,4,three_constraints,25,26,0,1,0,,40279,9926,0,25,graph_e1d923df-ab0e-47ad-b808-b101973e1b69,none-w4
three_constraints-none-w4-r4,none,4,three_constraints,25,26,0,1,0,,38805,10040,0,25,graph_cf71308e-66d6-4a8b-945f-fc3245859dd3,none-w4
three_constraints-inline-w4-r0,inline,4,three_constraints,12,13,3,0,1,13,18201,4349,0,12,graph_878cc43c-2d53-4557-abbc-c9ff9c82187b,inline-w4
three_constraints-inline-w4-r1,inline,4,three_constraints,25,26,0,0,0,,38706,8618,0,24,graph_425221ba-2a1d-40c2-8ef6-9bf884c89c1e,inline-w4
three_constraints-inline-w4-r2,inline,4,three_constraints,25,26,0,0,0,,32890,7899,0,6,graph_e3849e82-e871-492a-8d48-2a6713cc95f2,inline-w4
three_constraints-inline-w4-r3,inline,4,three_constraints,25,26,2,0,0,,38919,9082,0,25,graph_c5582f73-efde-4089-a17e-513c7f2fb27f,inline-w4
three_constraints-inline-w4-r4,inline,4,three_constraints,25,26,1,0,0,,38754,9002,0,25,graph_8a6d1740-5671-4205-817e-2194dcf19008,inline-w4
three_constraints-graph-w4-r0,graph,4,three_constraints,20,21,3,1,1,21,34630,7888,440.4,20,graph_e5b14249-a96f-4309-a104-dc3f2717157e,graph-w4
three_constraints-graph-w4-r1,graph,4,three_constraints,25,26,2,0,0,,42326,10119,392.6,23,graph_9a6f1d3f-b70d-4ef0-908a-55449f8405f0,graph-w4
three_constraints-graph-w4-r2,graph,4,three_constraints,25,26,0,0,0,,40254,9055,475.0,14,graph_4543b38f-7c28-4fcb-9e46-9d336ed5462d,graph-w4
three_constraints-graph-w4-r3,graph,4,three_constraints,25,26,1,1,0,,41960,9763,430.4,23,graph_d7b96161-12b7-4a34-8467-e7d80d80f480,graph-w4
three_constraints-graph-w4-r4,graph,4,three_constraints,20,21,3,0,1,21,35659,8292,442.6,20,graph_fb2b8a58-6340-49e2-8aba-9c30efcdfcac,graph-w4
